PortID;GlobalPortID;WorldPortNumber;MasterPOID;PortName;AlternativeName;Status;Country;LatitudeDecimal;LongitudeDecimal
10003;PO619700T000000B000000;PO6197;;Funafuti;;Open;Tuvalu;-8,516666412;179,2166667
10004;PO140700T000000B000000;PO1407;;Famagusta;;Open;Cyprus;35,1319167;33,94495
10005;PS715500T000000B000000;PO7155;PO1060;Withnell Bay;;Sub-Port;Australia;-20,58435;116,7603833
10006;PO523900T000000B000000;PO5239;;Crinan Canal;;Open;United Kingdom;56,0914333;-5,556
10008;PO284400T000000B000000;PO2844;;Porthmadog;;Open;United Kingdom;52,9234;-4,12885
10012;PO188600T000000B000000;PO1886;;Rosslare Europort;;Open;Irish Republic;52,2558833;-6,3406333
10016;PO236500T000000B000000;PO2365;;Eten;;Open;Peru;-6,96845;-79,8612333
10017;PO380200T000000B000000;PO3802;;Kanda;;Open;Japan;33,7793255;131,0050767
10021;PO332300T000000B000000;PO3323;;Campeche;;Open;Mexico;19,8663667;-90,5318667
10023;PS667700T000000B000000;PO6677;PO2921;Brayton Point;;Sub-Port;United States Of America;41,7096833;-71,1879
10024;PO524000T000000B000000;PO5240;;Dunbar;;Open;United Kingdom;56;-2,516666666
10028;PO619800T000000B000000;PO6198;;Hulaylah;;Open;United Arab Emirates;25,9677667;55,9397833
10030;PS715600T000000B000000;PO7156;PO1060;Mistaken Island;;Sub-Port;Australia;-20,6507333;116,6610333
10032;PO380300T000000B000000;PO3803;;Kanokawa;;Open;Japan;34,18;132,43275
10035;PO188700T000000B000000;PO1887;;Sligo;;Open;Irish Republic;54,26666641;-8,466666666
10039;PO236600T000000B000000;PO2366;;General San Martin;;Open;Peru;-13,80000019;-76,28333333
10044;PO332400T000000B000000;PO3324;;Cayo Arcas Terminal;;Open;Mexico;20,20000076;-91,98333333
10047;PO140900T000000B000000;PO1409;;Kyrenia;;Open;Cyprus;35,33333206;33,31666667
10050;;PO5720;PO5295;Godthaab;;Alt-Name;Greenland;64,16666412;-51,71666667
10052;PO667800T000000B000000;PO6678;;Bucks County Port;;Open;United States Of America;40,1368167;-74,7543167
10053;PS715700T000000B000000;PO7157;PO3013;Ekonomiya;;Sub-Port;Russia;64,7072;40,5205333
10055;PO380400T000000B000000;PO3804;;Kashima;;Open;Japan;35,9531333;140,7024
10064;PO188800T000000B000000;PO1888;;Waterford;;Open;Irish Republic;52,2523833;-7,0845167
10083;PO284600T000000B000000;PO2846;;Portsmouth (United Kingdom);;Open;United Kingdom;50,7880667;-1,10955
10093;PO236700T000000B000000;PO2367;;Huacho;;Open;Peru;-11,1216333;-77,6168333
10095;PS619900T000000B000000;PO6199;PO2873;Brixham;Torbay Harbour;Sub-Port;United Kingdom;50,40095;-3,5118167
10096;PO524100T000000B000000;PO5241;;Braefoot Bay;;Open;United Kingdom;56,0357333;-3,3105167
10105;;PO5721;PO5300;Julianehaab;;Alt-Name;Greenland;60,71666718;-46,03333333
10106;PO188900T000000B000000;PO1889;;Westport (Ireland);;Open;Irish Republic;53,8011167;-9,5492833
10111;PO667900T000000B000000;PO6679;;Pelican;;Open;United States Of America;57,9589;-136,2311167
10112;PS715800T000000B000000;PO7158;PO3013;Leviy Bereg;;Sub-Port;Russia;64,53333282;40,51666667
10115;PO284700T000000B000000;PO2847;;Ramsey;;Open;Isle Of Man;54,31666565;-4,366666666
10121;PO380500T000000B000000;PO3805;;Kawasaki;;Open;Japan;35,5071333;139,7507667
10136;PO141000T000000B000000;PO1410;;Larnaca;;Open;Cyprus;34,92665;33,6428667
10140;PS620100T000000B000000;PO6201;PO2931;Baytown;;Sub-Port;United States Of America;29,73333359;-95,01666667
10141;PO524300T000000B000000;PO5243;;Garlieston;;Open;United Kingdom;54,7889;-4,3656167
10142;;PO5722;PO5293;Frederikshaab;;Alt-Name;Greenland;61,98333359;-49,66666667
10143;PO668000T000000B000000;PO6680;;Angoon;;Open;United States Of America;57,5;-134,5833333
10144;PO189000T000000B000000;PO1890;;Youghal;;Open;Irish Republic;51,95165253;-7,855175585
10147;PS715900T000000B000000;PO7159;PO3013;Bakarista;;Sub-Port;Russia;64,53333282;40,51666667
10150;PO284800T000000B000000;PO2848;;Ramsgate;;Open;United Kingdom;51,3244167;1,42775
10157;PO236900T000000B000000;PO2369;;Ilo;;Open;Peru;-17,63333321;-71,36666667
10159;PO332700T000000B000000;PO3327;;Dos Bocas;;Open;Mexico;18,4512833;-93,2063667
10162;PO141100T000000B000000;PO1411;;Latchi;;Open;Cyprus;35,0417;32,3976167
10163;;PO5723;PO5305;Sukkertoppen;;Alt-Name;Greenland;65,46786499;-52,92379169
10164;PS620200T000000B000000;PO6202;PO3354;Burnside;;Sub-Port;United States Of America;30,43333244;-91,2
10165;PO668100T000000B000000;PO6681;;Knik;;Open;United States Of America;61,4558833;-149,72205
10166;PO237000T000000B000000;PO2370;;Iquitos;;Open;Peru;-3,716666698;-73,18333333
10170;PO380700T000000B000000;PO3807;;Kikuma;;Open;Japan;34,0497667;132,8513833
10175;PO524400T000000B000000;PO5244;;Glensanda;;Open;United Kingdom;56,5678667;-5,5318333
10179;PO332800T000000B000000;PO3328;;Frontera;;Open;Mexico;18,54595;-92,6593667
10181;PS620300T000000B000000;PO6203;PO6253;Destrehan;;Sub-Port;United States Of America;29,93333244;-90,35
10182;PO237100T000000B000000;PO2371;;La Pampilla;;Open;Peru;-11,9333334;-77,13333333
10185;;PO5724;PO5296;Gronnedal;;Alt-Name;Greenland;61,23333359;-48,1
10186;PS716100T000000B000000;PO7161;PO5477;Ege Gubre;;Sub-Port;Turkey;38,76666641;26,93333333
10190;PO189200T000000B000000;PO1892;;Ashdod;;Open;Israel;31,8397667;34,64265
10196;PS285000T000000B000000;PO2850;PO2822;Runcorn;;Sub-Port;United Kingdom;53,3397333;-2,7510667
10199;PO524500T000000B000000;PO5245;;Howdendyke;;Open;United Kingdom;53,747;-0,8497333
10201;PO668200T000000B000000;PO6682;;Craig;;Open;United States Of America;55,4902333;-133,6221833
10207;PO141300T000000B000000;PO1413;;Vassiliko;;Open;Cyprus;34,7173167;33,3158333
